CONTROLLER_FLAG,SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
100,800.78,108.81,4.83,90.47,4.83,-0.06440,-0.22440,-0.00490,-0.02801,0.00033,-0.04648,0.00112,0.74,0.16,9.29
100,329.32,108.81,1.07,96.67,1.07,-0.07226,-0.22987,-0.00457,0.00799,-0.00011,-0.01068,0.00003,-2.10,-0.20,7.92
100,800.78,108.81,2.62,98.19,2.62,-0.07540,-0.22440,-0.00490,-0.00801,-0.00120,-0.02610,-0.00003,0.58,0.35,9.24
100,-800.78,69.40,0.68,97.90,0.68,-0.07854,-0.03740,-0.00506,-0.00375,-0.00149,-0.00675,-0.00112,0.24,-0.56,10.99
100,800.78,69.40,-0.70,84.67,-0.70,-0.06440,-0.07306,-0.00451,0.01316,-0.00119,0.00716,0.00022,-1.93,0.00,9.57
100,-484.07,69.40,-5.25,86.27,-5.25,-0.05969,0.38312,-0.00363,0.02150,0.00096,0.05235,0.00189,-2.00,-0.42,10.53
100,116.25,69.40,0.70,80.04,0.70,-0.05655,0.07480,-0.00418,-0.01305,0.00067,-0.00698,-0.00188,2.16,0.26,7.65
100,283.05,49.70,-2.72,77.35,-2.72,-0.04869,0.07306,-0.00327,0.02104,0.00183,0.02703,-0.00002,-1.49,-0.47,10.58
100,-532.39,49.70,-0.86,72.31,-0.86,-0.04555,0.19156,-0.00357,-0.00725,0.00217,0.00844,0.00073,2.57,0.00,10.98
100,800.78,49.70,-2.68,63.42,-2.68,-0.03142,0.10959,-0.00291,0.01539,0.00323,0.02451,-0.00048,-1.73,-0.20,9.72
100,-671.97,49.70,-3.20,64.39,-3.20,-0.02985,0.30650,-0.00275,0.00381,0.00444,0.02949,0.00120,0.90,0.55,10.46
100,443.15,49.70,0.13,57.38,0.13,-0.02670,0.03653,-0.00293,-0.00422,0.00439,-0.00118,-0.00157,-0.18,-1.22,10.02
100,-160.11,39.84,-3.08,57.10,-3.08,-0.02356,0.07480,-0.00213,0.01910,0.00546,0.02568,0.00023,-0.57,1.16,9.18
100,-279.40,39.84,0.11,52.85,0.11,-0.02199,0.07662,-0.00243,-0.00734,0.00543,-0.00090,0.00001,0.92,-0.38,9.41
100,667.62,39.84,-1.96,47.21,-1.96,-0.01571,0.03653,-0.00188,0.01271,0.00612,0.01603,-0.00023,-0.71,-0.04,10.19
100,-198.84,39.84,-2.11,47.95,-2.11,-0.01414,0.15325,-0.00177,0.00283,0.00678,0.01615,0.00071,0.23,-0.24,10.77
100,-636.31,39.84,0.25,47.20,0.25,-0.01414,0.03740,-0.00198,-0.00503,0.00670,-0.00187,-0.00069,0.20,-0.08,9.59
100,800.78,94.93,-0.55,44.11,-0.55,-0.01257,0.00000,-0.00185,0.00304,0.00683,0.00310,-0.00022,-0.08,0.30,9.54
100,800.78,94.93,-1.01,56.54,-1.01,-0.01728,0.03740,-0.00169,0.00375,0.00713,0.00703,0.00022,0.13,-0.31,9.90
100,-631.82,94.93,5.51,74.45,5.51,-0.02827,-0.10959,-0.00310,-0.03354,0.00529,-0.04392,0.00042,0.33,-0.65,10.50
100,800.78,94.93,7.19,74.17,7.19,-0.04084,-0.25571,-0.00489,-0.04257,0.00255,-0.06529,0.00091,0.97,1.86,7.34
100,499.94,94.93,-0.46,81.19,-0.46,-0.04712,-0.30650,-0.00366,0.02984,0.00273,0.00441,0.00027,-2.69,-0.81,9.45
100,800.78,122.47,3.14,86.89,3.14,-0.05341,-0.18265,-0.00433,-0.01557,0.00141,-0.03072,-0.00072,0.94,0.33,10.24
100,800.78,122.47,2.33,97.15,2.33,-0.06754,-0.14960,-0.00477,-0.01039,0.00046,-0.02265,-0.00020,0.57,-0.52,11.71
100,202.93,122.47,4.63,104.90,4.63,-0.08482,-0.33660,-0.00551,-0.01756,-0.00143,-0.04484,0.00112,0.54,-0.28,9.77
100,800.78,122.47,2.98,107.20,2.98,-0.09111,-0.38312,-0.00539,0.00274,-0.00258,-0.02797,0.00028,-1.02,-0.02,8.58
100,403.48,76.23,1.15,112.18,1.15,-0.09896,-0.18265,-0.00525,0.00346,-0.00305,-0.01108,-0.00117,-0.19,-0.52,11.36
100,-474.22,76.23,1.85,105.42,1.85,-0.09582,-0.15325,-0.00546,-0.00516,-0.00376,-0.01735,-0.00018,-0.09,0.04,8.77
100,800.78,76.23,-3.17,95.08,-3.17,-0.07854,0.07306,-0.00442,0.02420,-0.00247,0.03007,-0.00047,-1.28,0.18,9.90
100,-468.03,76.23,-3.92,94.27,-3.92,-0.07383,0.42143,-0.00421,0.00505,-0.00089,0.03858,0.00213,0.22,-0.94,12.13
